Country,Rank,Score,Unexplained,GDP,Social_support,Health,Freedom,Generosity,Corruption
India,140,4.015,1.126,0.755,0.765,0.588,0.498,0.200,0.085
Liberia,141,3.975,1.902,0.073,0.922,0.443,0.370,0.233,0.033
Comoros,142,3.973,1.941,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,143,3.933,1.831,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,144,3.802,1.417,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,145,3.775,2.325,0.046,0.447,0.380,0.220,0.176,0.180
Zimbabwe,146,3.663,1.149,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,147,3.597,1.581,0.323,0.688,0.449,0.026,0.419,0.110
Botswana,148,3.488,0.183,1.041,1.145,0.538,0.455,0.025,0.100
Syria,149,3.462,1.541,0.619,0.378,0.440,0.013,0.331,0.141
Malawi,150,3.410,1.413,0.191,0.560,0.495,0.443,0.218,0.089
Yemen,151,3.380,1.139,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,152,3.334,0.467,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,153,3.231,0.531,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,154,3.203,1.793,0.350,0.517,0.361,0.000,0.158,0.025
Central African Republic,155,3.083,2.456,0.026,0.000,0.105,0.225,0.235,0.035
South Sudan,156,2.853,1.374,0.306,0.575,0.295,0.010,0.202,0.091
